date,expression,meaning,explanation,example,example_translation,tip,CEFR_level,topic
2026-04-01,Έχει κόκαλα,It has bones,Warning someone about fish or meat.,"Πρόσεχε όταν τρως το ψάρι, έχει κόκαλα.","Be careful when you eat the fish, it has bones.",,A2,Food and Eating
2026-04-01,Εκτυπώνω ένα έγγραφο,To print a document,Using a printer to create a physical copy of a digital file.,"Μπορείς να μου εκτυπώσεις αυτό το έγγραφο, σε παρακαλώ;","Can you print this document for me, please?",,B1,Office and Work
2026-04-01,Ρήτρα εμπιστευτικότητας,Confidentiality clause / Non-disclosure agreement (NDA),A legal contract preventing the sharing of sensitive information.,"Πριν σου στείλω τα οικονομικά στοιχεία, πρέπει να υπογράψεις μια ρήτρα εμπιστευτικότητας.","Before I send you the financial data, you must sign a confidentiality clause.",,C1,Business and Tax
2026-04-02,Το αγαπημένο μου φαγητό,My favorite food,Talking about preferences.,Το παστίτσιο είναι το αγαπημένο της φαγητό.,Pastitsio is her favorite food.,,A1,Food and Eating
2026-04-02,Χτυπάω κάρτα,To punch in / punch out,To record one's arrival or departure time at work.,Στην καινούργια μου δουλειά πρέπει να χτυπάω κάρτα κάθε πρωί.,"In my new job, I have to punch in every morning.",,B2,Office and Work
2026-04-02,Ενσαρκώνει τον ρόλο,Embodies the role,"When an actor plays a character perfectly, bringing them to life.",Η πρωταγωνίστρια ενσαρκώνει τον ρόλο με ανατριχιαστική ακρίβεια.,The leading lady embodies the role with chilling precision.,,C1,Movies and Cinema
2026-04-03,Καλημέρα,Good morning,Used as a greeting until about noon.,"Καλημέρα, πώς είστε;","Good morning, how are you?",Can be used until 5 p.m. in a relaxed social context.,A1,Greetings
2026-04-03,Η καλντέρα της Σαντορίνης κόβει την ανάσα.,The caldera of Santorini takes your breath away.,Describing the unique volcanic landscape of Santorini.,"Όσες φορές κι αν πας, η καλντέρα της Σαντορίνης κόβει την ανάσα.","No matter how many times you go, the caldera of Santorini takes your breath away.",,B2,Sightseeing in Greece
2026-04-03,Ο συρμός τερματίζει στον επόμενο σταθμό.,The train terminates at the next station.,"An announcement you might hear on the metro, meaning it will not continue to the end of the line.",Μια ανακοίνωση είπε 'Ο συρμός τερματίζει στον επόμενο σταθμό. Παρακαλούνται οι επιβάτες να αποβιβαστούν'.,An announcement said 'The train terminates at the next station. Passengers are requested to disembark'.,Συρμός' is a more formal word for train.,C1,City Transport
2026-04-04,Το πιάτο είναι βρώμικο,The plate is dirty,Asking for a replacement at a restaurant.,"Συγγνώμη, αλλά αυτό το πιάτο είναι βρώμικο.","Excuse me, but this plate is dirty.",,A2,Food and Eating
2026-04-04,Διαστημικό λεωφορείο,Space shuttle,"A rocket-launched spacecraft able to land like an unpowered aircraft, used to make repeated journeys between the earth and space.",Το διαστημικό λεωφορείο αποσύρθηκε από την ενεργό δράση.,The space shuttle was retired from active service.,,B2,Space and Astronomy
2026-04-04,Αναδιάρθρωση χρέους,Debt restructuring,A process that allows a private or public company facing cash flow problems to reduce and renegotiate its delinquent debts.,Η τράπεζα ενέκρινε το σχέδιο για την αναδιάρθρωση χρέους της επιχείρησης.,The bank approved the plan for the company's debt restructuring.,,C2,Business and Tax
2026-04-05,Έχει ωραίο χαμόγελο,He/She has a nice smile,Complimenting a specific physical trait.,"Μου αρέσει πολύ, έχει ωραίο χαμόγελο.","I like her a lot, she has a nice smile.",A standard A1 descriptive phrase.,A1,Romantic Gossip
2026-04-05,Η πτήση μου έχει καθυστέρηση / ακυρώθηκε.,My flight is delayed / has been cancelled.,The two most common (and dreaded) announcements at an airport.,Μόλις είδα στον πίνακα ανακοινώσεων ότι η πτήση μου για τη Ρώμη έχει καθυστέρηση δύο ωρών.,I just saw on the departures board that my flight to Rome is delayed by two hours.,,B1,Air Travel
2026-04-05,Παρακράτηση φόρου,Withholding tax,Tax deducted at the source of income before it is paid to the recipient.,Στην αμοιβή του ελεύθερου επαγγελματία γίνεται παρακράτηση φόρου 20%.,A 20% withholding tax is applied to the freelancer's fee.,,C2,Business and Tax
2026-04-06,Κάναμε μπάνιο στις κοινόχρηστες ντουζιέρες με κρύο νερό.,We showered in the shared showers with cold water.,A typical organized camping experience.,"Δεν είχε ζεστό, οπότε κάναμε μπάνιο στις κοινόχρηστες ντουζιέρες με κρύο νερό.","There was no hot water, so we showered in the shared showers with cold water.",,A2,Camping
